id,y,p,f
03087bf40ad162d93c761c0d1ddfa9ec8a13cd03.jpg,68,12,56
2e2eb9389b504fc261924385eedde71191ef6d65.jpg,74,68,6
1f178a82b9014a903eb64101a3773912b21bee86.jpg,65,85,-20
2e2eb9389b504fc2ae587a9ceedde71190ef6d20.jpg,55,60,-5
1e30e924b899a90155ba971316950a7b0208f50c.jpg,65,56,9
267f9e2f07082838c369da54b299a9014c08f10e.jpg,47,76,-29
060828381f30e9246d6d932040086e061c95f7d2.jpg,12,2,10
03087bf40ad162d987c6f2341adfa9ec8a13cdea.jpg,77,71,6
0df431adcbef7609a3e82cb322dda3cc7cd99e3f.jpg,89,83,6
0bd162d9f2d3572cf6c99fcc8013632762d0c3f3.jpg,97,79,18
0d338744ebf81a4c9ac6accbdb2a6059252da638.jpg,19,39,-20
0df431adcbef76098e4908f025dda3cc7cd99e1b.jpg,83,94,-11
00e93901213fb80e5c4d18423dd12f2eb8389482.jpg,78,95,-17
14ce36d3d539b6009ba995e5e250352ac65cb779.jpg,26,87,-61
0eb30f2442a7d933b54fb0a9a64bd11372f00100.jpg,28,53,-25
0d338744ebf81a4c389101cfdc2a6059252da611.jpg,34,100,-66
0df3d7ca7bcb0a46f3db882a6763f6246b60af23.jpg,64,15,49
1c950a7b02087bf4c4ef28b4f9d3572c11dfcf68.jpg,93,6,87
09fa513d269759ee69358198b9fb43166d22df78.jpg,52,46,6
0d338744ebf81a4c885cb10edc2a6059242da68f.jpg,96,30,66
00e93901213fb80ed2ad9e9e3dd12f2eb938947f.jpg,93,65,28
314e251f95cad1c800a5c184753e6709c93d5172.jpg,86,65,21
